Company Name,Rating,Reviews,Industry,Location,Extra Locations
Bank of America,4.2,(3.5k),Banking,Gurgaon / Gurugram,+33 other locations
Hindalco Industries,4.2,(3.4k),Metals & Mining,Sambalpur,+116 other locations
Viatris,4.2,(3.4k),Pharma,Hyderabad / Secunderabad,+76 other locations
Jindal Steel and Power,3.9,(3.4k),Iron & Steel,Angul,+157 other locations
American Express,4.1,(3.4k),Financial Services,Gurgaon / Gurugram,+50 other locations
PVR Inox,3.9,(3.4k),Media & Entertainment,New Delhi,+148 other locations
Subros,3.8,(3.4k),Auto Components,Noida,+80 other locations
Automatic Data Processing (ADP),4.0,(3.4k),Software Product,Hyderabad / Secunderabad,+38 other locations
Alembic Pharmaceuticals,4.0,(3.4k),Pharma,Vadodara,+174 other locations
RBL Bank,3.5,(3.4k),Banking,Mumbai,+257 other locations
Pidilite Industries,4.3,(3.4k),Chemicals,Mumbai,+283 other locations
State Street Corporation,3.6,(3.3k),Financial Services,Bangalore / Bengaluru,+31 other locations
Samvardhana Motherson Group,3.7,(3.3k),Auto Components,Noida,+87 other locations
Sodexo,4.1,(3.3k),Facility Management Services,Mumbai,+150 other locations
Godrej & Boyce Manufacturing,3.9,(3.3k),Consumer Electronics & Appliances,Mumbai,+146 other locations
Synechron,3.5,(3.3k),IT Services & Consulting,Pune,+31 other locations
Maersk,4.1,(3.3k),Logistics,Pune,+46 other locations
Abbott,4.1,(3.3k),Pharma,Mumbai,+193 other locations
Bharat Electronics,4.2,(3.3k),Electronics Manufacturing,Bangalore / Bengaluru,+78 other locations
Reliance Digital,4.1,(3.2k),Retail,Mumbai,+356 other locations
Birlasoft,3.6,(3.2k),IT Services & Consulting,Pune,+45 other locations
Dabur,3.9,(3.2k),FMCG,New Delhi,+296 other locations
Kogta Financial India Limited,4.7,(3.2k),NBFC,Jaipur,+236 other locations
Escorts Kubota Limited,4.1,(3.2k),Automobile,Faridabad,+143 other locations
Cogent E Services,3.2,(3.2k),Noida +49 other locations,,N/A
Aarti Industries,4.1,(3.2k),Agro Chemicals,Bharuch,+54 other locations
Kyndryl,4.0,(3.2k),IT Services & Consulting,Bangalore / Bengaluru,+33 other locations
Indian Oil Corporation,4.4,(3.2k),Oil & Gas,New Delhi,+291 other locations
PNB MetLife,3.4,(3.2k),Insurance,New Delhi,+380 other locations
Reliance Projects & Property Management Services,4.0,(3.2k),IT Services & Consulting,Kolkata,+580 other locations
Glenmark Pharmaceuticals,3.8,(3.2k),Pharma,Mumbai,+160 other locations
"NTT DATA, Inc.",4.0,(3.2k),IT Services & Consulting,Bangalore / Bengaluru,+31 other locations
Ipca Laboratories,3.9,(3.2k),Pharma,Mumbai,+149 other locations
Kotak Mahindara Life Insurance,3.7,(3.2k),Insurance,Mumbai,+236 other locations
Johnson Controls,3.5,(3.1k),Industrial Automation,Pune,+53 other locations
Aditya Birla Sun Life Insurance,4.0,(3.1k),Insurance,Mumbai,+443 other locations
Ford Motor,4.2,(3.1k),Automobile,Chennai,+125 other locations
JK Cement,4.1,(3.1k),Building Material,New Delhi,+297 other locations
Grasim Industries,4.0,(3.1k),Building Material,Bharuch,+206 other locations
KPIT Technologies,3.3,(3.1k),Software Product,Pune,+41 other locations
UBS,3.9,(3.1k),Financial Services,Pune,+19 other locations
24/7 Customer,3.5,(3.1k),Software Product,Bangalore / Bengaluru,+35 other locations
Alkem Laboratories,3.9,(3.1k),Pharma,Mumbai,+181 other locations
MRF Tyres,3.6,(3.1k),Auto Components,Chennai,+180 other locations
IGT Solutions,3.3,(3.1k),IT Services & Consulting,New Delhi,+47 other locations
